,Unnamed: 0,K,y_mean,p,variance,variance_verdoja,our_formula
0,0,5,1,0.001,0.0002419852843168,0.00020012006402559998,1.792434061855609e-13
1,1,5,1,0.05,1.7659275664980797e-05,0.010308159722222222,9.82229736805879e-10
2,2,5,1,0.1,7.520966915635225e-05,0.021266540642722122,3.1009656090108e-09
3,3,5,1,0.2,0.0001380202421126,0.045351473922902494,8.866655232836083e-09
4,4,5,1,0.3,0.0004412132069036,0.0727146814404432,1.5751428851079803e-08
5,5,5,1,0.5,0.0006542549422114,0.1388888888888889,3.134095880853779e-08
6,6,5,1,0.7,0.0012886690753209,0.2169421487603306,4.837455359602397e-08
7,7,5,1,0.8,0.0014526775519874,0.2469135802469135,5.725284225774247e-08
8,8,5,1,0.9,0.0012119409892527,0.22959183673469385,6.631800650752489e-08
9,9,5,10,0.001,0.0088634257675961,0.020012006402559998,1.7924340618556088e-09
10,10,5,10,0.05,0.0074495972342677,1.0308159722222223,9.822297368058788e-06
11,11,5,10,0.1,7.441613205665919e-05,2.1266540642722123,3.1009656090108e-05
12,12,5,10,0.2,3.965017983383522e-05,4.535147392290249,8.866655232836082e-05
13,13,5,10,0.3,0.0001408285585685,7.271468144044321,0.00015751428851079805
14,14,5,10,0.5,9.947713771863712e-05,13.88888888888889,0.0003134095880853779
15,15,5,10,0.7,0.0001389656728961,21.69421487603306,0.00048374553596023973
16,16,5,10,0.8,0.0002555679546986,24.69135802469135,0.0005725284225774246
17,17,5,10,0.9,0.0009243003278512,22.959183673469386,0.0006631800650752489
18,18,5,100,0.001,1.2443322879913834,2.0012006402559996,1.792434061855609e-05
19,19,5,100,0.05,56.85961701463189,103.08159722222223,0.0982229736805879
20,20,5,100,0.1,104.96365717462491,212.6654064272212,0.31009656090108
21,21,5,100,0.2,186.29106722719268,453.51473922902494,0.8866655232836084
22,22,5,100,0.3,249.6356288767821,727.146814404432,1.5751428851079803
23,23,5,100,0.5,312.22210599546503,1388.888888888889,3.1340958808537787
24,24,5,100,0.7,238.17120710427776,2169.4214876033056,4.837455359602397
25,25,5,100,0.8,128.54267378566354,2469.135802469135,5.725284225774248
